file,nit_cliente,cliente,fecha_file,tipo,operativo,comercial,fch__primera__fact__prov,unnamed:_8,fecha_arribo,fecha_zarpe,envio_facturar,fecha_de_factura,fecha_envio_cierre,fecha_cierre,estado
24IM019249          ,900040299                     ,ATLANTIC FS SAS,2024-01-02 00:00:00.000,M,KAREN CASTRO        ,RUBY SALGADO,2024-01-22,,2024-01-20 00:00:00,2023-12-28 12:00:00,2024-04-25 09:39:35,2024-01-22 04:22:07,2024-04-25 09:39:43,2024-04-26,Cerrado
24IM019249          ,900040299                     ,ATLANTIC FS SAS,2024-01-02 00:00:00.000,M,KAREN CASTRO        ,RUBY SALGADO,2024-01-22,,2024-01-20 00:00:00,2023-12-28 12:00:00,2024-04-25 09:39:35,2024-01-22 04:22:07,2024-04-25 09:39:43,2024-04-26,Cerrado
24IM019253          ,900076919                     ,KOTRACO S.A.S,2024-01-02 12:00:00.000,M,KAREN PINZON        ,JESSICA CUBILLOS,2024-02-13,,2024-02-17 00:00:00,2024-01-14 12:00:00,2024-02-13 08:14:05,2024-04-01 03:17:26,2024-04-17 08:11:07,2024-04-11,Cerrado
24IM019255          ,901159973                     ,OVERSEAS COLOMBIA SAS,2024-01-02 12:00:00.000,M,SHANE HUERTAS       ,ULS BOGOTA,2024-01-23,,2024-02-26 00:00:00,2024-01-18 12:00:00,2024-02-26 12:53:26,2024-02-26 03:50:02,2024-04-18 10:03:15,2024-04-26,Cerrado
24OM019256          ,901393321                     ,PLASTIFILAMENTOS S.A.S,2024-01-02 12:00:00.000,M,ALEXANDER CARO      ,RUBY SALGADO,2024-01-09,,1900-01-02 12:00:00,2024-01-15 12:00:00,2024-01-12 08:02:05,2024-01-17 10:29:48,2024-02-21 08:03:35,2024-02-29,Cerrado
24IT019248          ,901329757                     ,VV TECHNOLOGY SAS,2024-01-02 12:00:00.000,T,No especificado,KARLA PATINO,2024-01-05,,1900-01-02 12:00:00,1900-01-01 12:00:00,2024-01-03 12:32:57,2025-05-09 05:41:02,2025-02-12 12:55:41,2025-05-13,Cerrado
24IT019248          ,901329757                     ,VV TECHNOLOGY SAS,2024-01-02 12:00:00.000,T,No especificado,KARLA PATINO,2024-01-05,,1900-01-02 12:00:00,1900-01-01 12:00:00,2024-01-03 12:32:57,2025-05-09 05:41:02,2025-02-12 12:55:41,2025-05-08,Cerrado
24IS019247          ,900361775                     ,GLOBAL LATICES S.A.S.,2024-01-02 12:00:00.000,S,No especificado,ULS BOGOTA,2024-01-15,,2024-01-17 00:00:00,2023-12-25 12:00:00,2024-01-12 02:40:40,2024-01-18 08:07:19,2024-05-21 04:41:52,2024-05-30,Cerrado
24IA019246          ,830054002                     ,NACIONAL DE ELECTRICOS H. H. LTDA.,2024-01-02 12:00:00.000,A,LEIDY CAMPOS        ,RUBY SALGADO,2024-01-05,,1900-01-02 12:00:00,2024-01-04 12:00:00,2024-01-04 09:11:45,2024-01-09 11:54:43,2024-01-11 07:52:27,2024-01-30,Cerrado
24IM019250          ,900888148                     ,COLOMBIA RUEDA SAS,2024-01-02 12:00:00.000,M,KAREN PINZON        ,KARLA PATINO,2024-01-23,,2024-02-17 00:00:00,2024-01-16 12:00:00,2024-02-14 08:14:50,2024-02-19 12:22:30,2024-04-18 06:46:30,2024-04-26,Cerrado
24IM019254          ,901159973                     ,OVERSEAS COLOMBIA SAS,2024-01-02 12:00:00.000,M,SHANE HUERTAS       ,ULS BOGOTA,2024-01-19,,2024-02-17 00:00:00,2024-01-11 12:00:00,2024-02-16 01:01:30,2024-02-19 04:57:52,2024-04-18 09:47:58,2024-04-26,Cerrado
24OS019259          ,444444231                     ,SUPREME INTERNATIONAL LOGISTICS PTE LTD,2024-01-03 12:00:00.000,S,No especificado,No especificado,2024-01-09,,1900-01-02 12:00:00,2024-01-16 12:00:00,2024-01-23 09:15:12,2024-01-23 11:43:21,2024-07-30 04:05:04,2024-07-31,Cerrado
24IM019261          ,901160498                     ,GRUPO MIZO SAS,2024-01-03 12:00:00.000,M,KAREN PINZON        ,JESSICA CUBILLOS,2024-01-16,,2024-02-17 00:00:00,2024-01-15 12:00:00,2024-02-13 08:00:31,2024-03-13 04:54:46,2024-04-17 08:07:03,2024-04-11,Cerrado
24IM019268          ,901723212                     ,DONE GROUP SAS,2024-01-03 12:00:00.000,M,KAREN PINZON        ,FREELANCE,2024-02-29,,2024-03-14 00:00:00,2024-01-31 12:00:00,2024-03-11 04:22:18,2024-04-09 04:10:34,2024-06-13 11:45:22,2024-06-20,Cerrado
24IA019263          ,800116164                     ,TERMINAL DE CONTENEDORES DE CARTAGENA SA,2024-01-03 12:00:00.000,A,SHANE HUERTAS       ,MAIRA LORA,2024-01-22,,1900-01-02 12:00:00,2024-01-17 12:00:00,2024-01-19 10:10:32,2024-01-19 02:43:28,2024-04-18 09:20:33,2024-04-25,Cerrado
